PMID_x,Title,Abstract,Authors,Affiliations,Journal_Title,Journal_ISO,Keywords,Date_Pub_Year,Date_Pub_Month,Date_Pub_Day,Date_Revise_Year,Date_Revise_Month,Date_Revise_Day,Grants,URL,DOI,PMID_y,Citation_Count,Cited_By_Clin,Cited_By
40916639,Recent advances in single-cell bioinformatics for inferring higher-order chromatin contact maps.,"DNA, a large molecule located in the nucleus, carries essential genetic information, including gene loci and cis-regulatory elements. Despite its extensive length, DNA is compactly stored within the limited space of the nucleus due to its hierarchical three-dimensional (3D) organization. In this structure, DNA is organized into territories known as topologically associated domains (TADs). Within each TAD, numerous chromatin loops link promoters and enhancers across the genome. These loops and the interactions between promoters and enhancers are dynamically regulated, thereby controlling gene transcription activities. With the rapid advancements in single-cell genomics technologies, TAD boundaries and chromatin loops can now be observed at the level of individual cells, allowing researchers to explore cellular heterogeneity in tissues. This review will summarize the state-of-the-art bioinformatics methods recently developed to analyze single-cell Hi-C and epigenomics datasets, which infer higher-order chromatin interactions within the 3D genome. Additionally, we will discuss the biological applications of these tools and future directions for comprehensively investigating epigenomic heterogeneity across different species, developmental stages, and disease states.","Noh, Seung Kyun; Lee, Minhyeok; Jeong, Hyobin","Department of Systems Biology, College of Life Science and Biotechnology, Yonsei University, Seoul 03722, Korea.",BMB reports,BMB Rep,,2025,09,08,2025,09,08,['NONE'],https://www.ncbi.nlm.nih.gov/pubmed/40916639,,,,,
40895087,Improving the FAIRness and Sustainability of the NHGRI Resources Ecosystem.,"In 2024, individuals funded by NHGRI to support genomic community resources completed a Self-Assessment Tool (SAT) to evaluate their application of the FAIR (Findable, Accessible, Interoperable, and Reusable) principles and assess their sustainability. By collecting insights from the self-administered questionnaires and conducting personal interviews, a valuable perspective was gained on the FAIRness and sustainability of the NHGRI resources. The results highlighted several challenges and key areas the NHGRI resource community could improve by working together to form recommendations to address these challenges. The next step was the formation of an Organizing Committee to identify which challenges could lead to best practices or guidelines for the community. The workshop's Organizing Committee comprised four members from the NHGRI resource community: Carol Bult, PhD, Chris Mungall, PhD, Heidi Rehm, PhD, and Michael Schatz, PhD. In December 2024, the Organizing Committee engaged with the NHGRI resource community to refine these challenges further, inviting feedback on potential focus areas for a future workshop. This collaborative approach led to two informative webinars in December 2024, highlighting specific challenges in data curation, data processing, metadata tools, and variant identifiers within the NHGRI resources. Throughout the workshop planning process, the four Organizing Committee members worked together to create and develop themes, design breakout sessions, and create a detailed agenda. The workshop's agenda was intentionally structured to ensure participants could generate implementable recommendations for the NHGRI resource community. The two-day workshop was held in Bethesda, MD, on March 3-4, 2025. The challenges received from NHGRI resources were classified into four key categories, forming the basis of the workshop. The four key categories are variant identifiers, data processing, data curation, and metadata tools. They are briefly described below, with greater details on their challenges and recommendations in subsequent sections. Metadata Tools:While metadata is vital for capturing context in genomic datasets, its usage and relevance can vary by domain, making it difficult to standardize usage. While various methods exist for annotating and extracting metadata, incomplete or inconsistent annotations often result in ineffective data sharing and interoperability, further reducing data usability and reproducibility.Data Curation:Curation of annotations for genomics data is critical for FAIR-ness. Scalable curation solutions are challenging because of the multiple components for curation, including harmonizing data sets, data cleaning, and annotation. The workshop focused on identifying which aspects of data curation could be streamlined using computational methods while considering the barriers to increased automation.Variant Identifiers:Variant identifiers are standardized representations of genetic variants, crucial for sharing and interpreting genomic data in research and clinical work. They ensure consistent referencing and enable data aggregation. Standardizing variant identifiers is difficult due to varied formats, complex data, and distinct environments for generating and disseminating data.Data Processing:Data processing is a necessary first step in a FAIR environment. As there are many variant workflows, streamlining this process will ensure greater accuracy, reproducibility, interoperability, and FAIRness, driving advancements in clinical research. The workshop focused on addressing these aspects with a key focus on improvements and best practices around data processing for an NHGRI resource. Several recommendations were made throughout the workshop's interactive sessions with the resources' participants. While many recommendations were specific to data processing, data curation, metadata tools, or variant identifiers, they can be grouped into core recommendations addressing common challenges within the NHGRI resource community. These core recommendations highlight the key themes that emerged across sessions and are listed in the nine recommendations below. Increase transparency to enable effective sharing/reproducibility (documenting, benchmarking, publishing, mapping)Develop entity schema and ontology mapping tools (between models, identifiers, etc.)Annotate tools using resources to increase findability and reuse (Examples: EDAM Ontology of Bioscientific data analysis and data management)Use standard nomenclature and identifiersMake workflows usable by researchers with limited programming expertiseImplement APIs to improve data connectivityPresent data in an interpretable manner, along with machine readabilityDevelop artificial intelligence/machine learning (AI/ML) methods for scaling curation processesAssess the impact of resources using an independent group that can assess return on investment and impact to health and scientific advancement. An additional key collaborative outcome was the development of Appendix A, which outlines ongoing and future efforts, including additional workshops, webinars, and meetings through the listed events provided by the NHGRI resource community. We hope that these activities will enable further advances in the implementation of FAIR standards and continue to foster collaboration and exchange across NHGRI resources and the global community.","Babb, Larry; Bult, Carol; Carey, Vincent J; Carroll, Robert J; Hitz, Benjamin C; Mungall, Chris J; Rehm, Heidi L; Schatz, Michael C; Wagner, Alex; NONE, NONE","Johns Hopkins University, Baltimore, MD.; Broad Institute of MIT and Harvard, Cambridge, MA.; Stanford University, Stanford, CA.; Lawrence Berkeley National Laboratory, Berkeley, CA.; Nationwide Children's Hospital, Columbus, OH.; Massachusetts General Hospital, Boston, MA.; The Jackson Laboratory, Bar Harbor, ME.; Vanderbilt University Medical Center, Nashville, TN.",ArXiv,ArXiv,,2025,08,19,2025,09,15,['NONE'],https://www.ncbi.nlm.nih.gov/pubmed/40895087,,,,,
40832044,CAKL: Commutative algebra k-mer learning of genomics.,"Despite the availability of various sequence analysis models, comparative genomic analysis remains a challenge in genomics, genetics, and phylogenetics. Commutative algebra, a fundamental tool in algebraic geometry and number theory, has rarely been used in data and biological sciences. In this study, we introduce commutative algebra k-mer learning (CAKL) as the first-ever nonlinear algebraic framework for analyzing genomic sequences. CAKL bridges between commutative algebra, algebraic topology, combinatorics, and machine learning to establish a new mathematical paradigm for comparative genomic analysis. We evaluate its effectiveness on three tasks-genetic variant identification, phylogenetic tree analysis, and viral genome classification-typically requiring alignment-based, alignment-free, and machine-learning approaches, respectively. Across eleven datasets, CAKL outperforms five state-of-the-art sequence analysis methods, particularly in viral classification, and maintains stable predictive accuracy as dataset size increases, underscoring its scalability and robustness. This work ushers in a new era in commutative algebraic data analysis and learning.","Suwayyid, Faisal; Hozumi, Yuta; Feng, Hongsong; Zia, Mushal; Wee, JunJie; Wei, Guo-Wei","Department of Mathematics, Michigan State University, MI 48824, USA.; Department of Biochemistry and Molecular Biology, Michigan State University, MI 48824, USA.; Department of Mathematics and Statistics, University of North Carolina at Charlotte, Charlotte, NC 28223, USA.; Department of Mathematics, King Fahd University of Petroleum and Minerals, Dhahran 31261, KSA.; Department of Electrical and Computer Engineering, Michigan State University, MI 48824, USA.",ArXiv,ArXiv,,2025,08,13,2025,09,14,R35 GM148196_GM_NIGMS NIH HHS_United States; R01 AI164266_AI_NIAID NIH HHS_United States,https://www.ncbi.nlm.nih.gov/pubmed/40832044,,,,,
40799808,Progress and new challenges in image-based profiling.,"For over two decades, image-based profiling has revolutionized cellular phenotype analysis. Image-based profiling processes rich, high-throughput, microscopy data into unbiased measurements that reveal phenotypic patterns powerful for drug discovery, functional genomics, and cell state classification. Here, we review the evolving computational landscape of image-based profiling, detailing current procedures, discussing limitations, and highlighting future development directions. Deep learning has fundamentally reshaped image-based profiling, improving feature extraction, scalability, and multimodal data integration. Methodological advancements such as single-cell analysis and batch effect correction, drawing inspiration from single-cell transcriptomics, have enhanced analytical precision. The growth of open-source software ecosystems and the development of community-driven standards have further democratized access to image-based profiling, fostering reproducibility and collaboration across research groups. Despite these advancements, the field still faces significant challenges requiring innovative solutions. By focusing on the technical evolution of image-based profiling rather than the wide-ranging biological applications, our aim with this review is to provide researchers with a roadmap for navigating the progress and new challenges in this rapidly advancing domain.","Serrano, Erik; Peters, John; Wagner, Jesko; Graham, Rebecca E; Chen, Zhenghao; Feng, Brian; Miranda, Gisele; Kalinin, Alexandr A; Vulliard, Loan; Tomkinson, Jenna; Mattson, Cameron; Lippincott, Michael J; Kang, Ziqi; Sitani, Divya; Bunten, Dave; Seal, Srijit; Carragher, Neil O; Carpenter, Anne E; Singh, Shantanu; Marin Zapata, Paula A; Caicedo, Juan C; Way, Gregory P","Research Program in Systems Oncology, University of Helsinki.; Morgridge Institute for Research, University of Wisconsin-Madison.; Department of Systems Medicine, German Center for Neurodegenerative Diseases (DZNE).; Imaging Platform, Broad Institute of MIT and Harvard.; Bayer AG.; Institute of Genetics and Cancer, University of Edinburgh.; Computational Science and Technology, Science for Life Laboratory, KTH Royal Institute of Technology.; Systems Immunology and Single-Cell Biology, German Cancer Research Center (DKFZ).; Calico Life Sciences.; Centre for Clinical Brain Sciences, University of Edinburgh.; Department of Biomedical Informatics, University of Colorado School of Medicine.",ArXiv,ArXiv,,2025,08,07,2025,09,14,T15 LM009451_LM_NLM NIH HHS_United States; R35 GM122547_GM_NIGMS NIH HHS_United States; T15 LM007359_LM_NLM NIH HHS_United States,https://www.ncbi.nlm.nih.gov/pubmed/40799808,,,,,
40788209,[Clinical and genetic analysis of a patient with FSIP2 compound heterozygous variants causing multiple morphological abnormalities of sperm flagella].,"The aim of this study is to analyze the clinical features and genetic etiology of a patient with multiple morphological abnormalities of the sperm flagella (MMAF) retrospectively. A severely oligospermic patient from the Reproductive Center of the First Affiliated Hospital of Ningbo University was selected as the study subject. Clinical data and examination results were collected. High-throughput sequencing and bioinformatics were used to analyze the genetic etiology. And Sanger sequencing was employed to validate findings in the family. Transmission electron microscopy (TEM) was used to observe the sperm ultrastructure, and immunofluorescence analysis was performed to examine the localization of FSIP2 protein in the sperm. The patient presented with severe oligospermia, and sperm morphology displayed MMAF. TEM revealed fibrous sheath and 9+2 microtubule structural disruptions in the sperm. Sequencing identified compound heterozygous variants in the FSIP2 gene (c.17798C > T, c.5927T > G), inherited from the father and mother, respectively. According to the guidelines of the American College of Medical Genetics and Genomics, the variants were classified as pathogenic. The patient's spouse underwent intracytoplasmic single sperm injection, resulting in one embryo, but no clinical pregnancy occurred after embryo transfer. This study reported the mutation of FSIP2 gene c.17798C > T, c.5927T > G in a patient with MMAF. These findings expand the mutational spectrum of the FSIP2 gene and provide insights for genetic and assisted reproductive counseling for patients with MMAF.","Chen, Yao-Qi; Xu, Li-Qi; Dai, Yi-Bo; Yao, Liang-Yu; Yang, Shen-Ming; Huang, Lu-Yu; Yang, Xi; Yu, Yi; Yang, Jing-Ming; Wu, Ke-Rong","Reproductive Medicine Center, 906 Hospital of Joint Logistics Support Force, Ningbo, Zhejiang 315040, China.; Ningbo Hospital of Zhejiang University, Zhejiang University School of Medicine, Ningbo, Zhejiang 315010, China.; Center for Reproductive Medicine, the Affiliated Suzhou Hospital of Nanjing Medical University, Suzhou, Jiangsu 215002, China.; Center for Reproductive Medicine, the First Affiliated Hospital of Ningbo University, Ningbo, Zhejiang 315010, China.; Shanghai Weihangsi Biomedical Technology CO.,LTD, Shanghai 201318, China.; Graduate School of Heilongjiang University of Traditional Chinese Medicine, Harbin, Heilongjiang 150040, China.; Department of Urology, The First Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu 210029, China.; Department of Urology, the First Affiliated Hospital of Ningbo University, Ningbo, Zhejiang 315010, China.",Zhonghua nan ke xue = National journal of andrology,Zhonghua Nan Ke Xue,"Humans, Male, Sperm Tail, Heterozygote, Oligospermia, Spermatozoa, Mutation, Infertility, Male, Adult, Pedigree, Retrospective Studies, Sperm Injections, Intracytoplasmic",2025,08,11,2025,08,24,['NONE'],https://www.ncbi.nlm.nih.gov/pubmed/40788209,,,,,
40783954,[Clinical and genetic analysis of a case of Kartagener syndrome with obstructive azoospermia induced by biallelic variation of CCDC114].,"To investigate the clinical features and genetic etiology of a case of Kartagener syndrome with obstructive azoospermia (KS-OAS). We collected the clinical data and results of examinations of a male infertility patient treated in the Women and Children's Hospital Affiliated to Xiamen University. We analyzed the genetic etiology of the patient by high-throughput sequencing and bioinformatics, verified the pathogenic variants of CCDC114 by Sanger sequencing of the family members, and determined the protein expression of CCDC114 in normal subjects by immunohistochemistry and immunofluorescence staining. The patient was confirmed with KS-OAS, and found with biallelic variation of CCDC114 (c.71-2A>C, c.816_817insGCAG) by sequencing, which were inherited from father and mother, respectively. According to the American College of Medical Genetics and Genomics (ACMG) guidelines, the variants were pathogenic. Two offspring were obtained by intracytoplasmic sperm injection (ICSI). The above findings have broadened the variation spectrum of the CCDC114, and provided some new ideas for genetic and assisted reproduction counseling for patients with Kartagener syndrome. The variation of CCDC114 does not affect the pregnancy outcome of ICSI.","Cai, Mei-Jiao; Xin, Mei-Jiao; Wang, Yu-Lin","Key Laboratory of Fujian Provincial Colleges and Universities for Functional and Clinical Translational Medicine, School of Basic Medicine, Xiamen Medical College, Xiamen, Fujian 361023, China.; Central Laboratory, Xiamen Maternal and Child Health Care Hospital / Women and Children's Hospital Affiliated to Xiamen University, Xiamen, Fujian 361003, China.; Organiod Platform of Medical Laboratory Science, School of Basic Medicine, Xiamen Medical College, Xiamen, Fujian 361023, China.",Zhonghua nan ke xue = National journal of andrology,Zhonghua Nan Ke Xue,"Adult, Humans, Male, Azoospermia, Kartagener Syndrome, Mutation, Sperm Injections, Intracytoplasmic",2025,08,09,2025,08,11,['NONE'],https://www.ncbi.nlm.nih.gov/pubmed/40783954,,,,,
40791739,Model-Based Causal Discovery for Zero-Inflated Count Data.,"Zero-inflated count data arise in a wide range of scientific areas such as social science, biology, and genomics. Very few causal discovery approaches can adequately account for excessive zeros as well as various features of multivariate count data such as overdispersion. In this paper, we propose a new zero-inflated generalized hypergeometric directed acyclic graph (ZiG-DAG) model for inference of causal structure from purely observational zero-inflated count data. The proposed ZiG-DAGs exploit a broad family of generalized hypergeometric probability distributions and are useful for modeling various types of zero-inflated count data with great flexibility. In addition, ZiG-DAGs allow for both linear and nonlinear causal relationships. We prove that the causal structure is identifiable for the proposed ZiG-DAGs via a general proof technique for count data, which is applicable beyond the proposed model for investigating causal identifiability. Score-based algorithms are developed for causal structure learning. Extensive synthetic experiments as well as a real dataset with known ground truth demonstrate the superior performance of the proposed method against state-of-the-art alternative methods in discovering causal structure from observational zero-inflated count data. An application of reverse-engineering a gene regulatory network from a single-cell RNA-sequencing dataset illustrates the utility of ZiG-DAGs in practice.","Choi, Junsouk; Ni, Yang","Department of Statistics, Texas A&M University, College Station, TX 98195-4322, USA.; Department of Statistics, Texas A&M University, College Station, TX 94720-1776, USA.",Journal of machine learning research : JMLR,J Mach Learn Res,,2023,04,21,2025,08,16,R01 GM148974_GM_NIGMS NIH HHS_United States,https://www.ncbi.nlm.nih.gov/pubmed/40791739,,,,,
40911309,A Payment Incentive to Improve Confirmatory Testing in Men With Prostate Cancer.,"Among men with favorable-risk (ie, low-risk or favorable intermediate-risk) prostate cancer, confirmatory testing substantially improves the detection of aggressive cancers that may merit treatment instead of conservative management. Despite guideline recommendations, confirmatory testing is inconsistently used, and more than half of men do not receive it. Value-based interventions and payment incentives may improve care quality by motivating adherence to guideline-concordant care. To examine the use of confirmatory testing among men with low-risk prostate cancer, after the application of a multifaceted intervention, which included physician education and a payment incentive, sponsored by a commercial payer to support its use. This cohort study used data from the Michigan Urological Surgery Improvement Collaborative on men who received a diagnosis of low-risk prostate cancer between January 1, 2017, and July 1, 2022, with a minimum 6 months of follow-up. Statistical analysis was performed from October 2024 to June 2025. Multifaceted intervention with a payment incentive, applied specifically to men who received a diagnosis of low-risk prostate cancer between April 1, 2018, and May 30, 2019. On meeting the payment incentive's benchmark (ie, ≥45% of men with low-risk prostate cancer complete confirmatory testing within 6 months of diagnosis), the insurer would distribute enhanced reimbursement on claims covered by commercial preferred provider organization plans. Confirmatory testing completion (ie, magnetic resonance imaging before or after diagnostic biopsy, repeat prostate biopsy, or genomics test) relative to the preincentive period among men with low-risk prostate cancer. Secondary analyses examined practices by baseline confirmatory testing completion and proportion of patients with insurance plans covered by the insurer sponsoring the payment incentive. The study included 6609 patients (median age, 65 years [IQR, 60-70 years]), of whom 72.9% (n = 4818) elected for active surveillance. Confirmatory testing increased between 2017 (44.6% [725 of 1625]) and 2022 (64.3% [774 of 1203]) (P < .001). During the payment incentive period, patients had a 7.5% (95% CI, 0.0%-15.4%; P = .06) increase in the predicted probability of confirmatory testing completion relative to the preincentive period, although this change was not statistically significant (odds ratio, 1.43 [95% CI, 0.99-2.09]; P = .06). In this cohort study of men with prostate cancer, confirmatory testing completion improved over the study period. However, the payment incentive was not associated with a robust increase in its use. The results suggest collaboration between payers and physicians has the potential to improve measures of prostate cancer care quality, but also highlight the challenges associated with payment incentives and alternative payment model implementation.","Srivastava, Arnav; Kaufman, Samuel R; Shay, Addison; Oerline, Mary; Liu, Xiu; Chachlani, Preeti; Guro, Paula; Hill, Dawson; Van Til, Monica; Linsell, Susan; Labardee, Corinne; Dall, Christopher; Faraj, Kassem S; Maganty, Avinash; Ghani, Khurshid R; Borza, Tudor; Ginsburg, Kevin B; Hollenbeck, Brent K; Shahinian, Vahakn B","Department of Urology, Wayne State University School of Medicine, Detroit, Michigan.; Dow Division of Health Services Research, Department of Urology, University of Michigan, Ann Arbor.; Department of Urology, Massachusetts General Hospital, Boston.",JAMA network open,JAMA Netw Open,"Humans, Male, Prostatic Neoplasms, Reimbursement, Incentive, Middle Aged, Aged, Cohort Studies, Michigan, Guideline Adherence, Motivation",2025,09,02,2025,09,08,['NONE'],https://www.ncbi.nlm.nih.gov/pubmed/40911309,10.1001/jamanetworkopen.2025.30624,40911309,0,0,NONE
40838279,Transcriptional regulation of neuropeptide receptors underlies context-dependent adaptation in Drosophila melanogaster.,"Neuropeptides (NPs) and their receptors (NPRs) play critical roles in modulating physiological processes and behaviors across species. While the transcriptional regulation of NP genes has been extensively studied, how NPRs contribute to context-dependent behavioral plasticity remains poorly understood. Here, we investigate the genomic features and expression patterns of NPRs in Drosophila melanogaster, leveraging comparative genomics, single-cell RNA sequencing (scRNA-seq), transcription factor (TF) network analysis, and empirical validation to uncover the regulatory mechanisms that involve NPRs and play roles in context-dependent adaptation. We demonstrate that NPR genes exhibit more complex cis-regulatory landscapes, with greater numbers of enhancers compared to NP genes. Also, NPRs are regulated via a broader network of TFs, particularly in response to environmental and physiological cues such as temperature shifts. Through analysis of scRNA-seq data and qRT-PCR, we show that the expression level of NPRs is dynamically modulated in a context-dependent manner, while NP levels remain relatively stable. This ""NPR-biased"" gene regulation is evident across diverse combinations of NP-NPR pairs, with a distinct pattern of TF control in the head and body of D. melanogaster. Furthermore, the expression level of NPR genes increases during aging of the fly, suggesting a key role in aging and developmental processes. Our findings highlight the importance of NPR transcriptional control in shaping neuropeptidergic signaling and adaptive behaviors.","Ryu, SeungHeui; Wei, Yanan; Wu, Zekun; Zhang, Tianmu; Lee, DoHoon; Najafi, Hadi; Kim, Woo Jae","Department of Information Convergence Engineering, Pusan National University, Busan, Korea.; The HIT Center for Life Sciences, Harbin Institute of Technology, Harbin, China.; Department of Molecular, Cell and Cancer Biology, University of Massachusetts Chan Medical School, Worcester, MA, USA.; Medical and Health Research Institute, Zhengzhou Research Institute of HIT, Zhengzhou, China.",FEBS open bio,FEBS Open Bio,,2025,08,21,2025,08,21,NONE_NONE_Harbin Institute of Technology_,https://www.ncbi.nlm.nih.gov/pubmed/40838279,10.1002/2211-5463.70107,40838279,0,0,NONE
40883955,Practice Recommendations for Genetic Testing of Ataxias.,"Over the past decade, significant advances in genetic testing for ataxia have improved diagnostic accuracy, informed clinical trial eligibility, guided treatment decisions, and enabled cascade testing of at-risk relatives. While guidance exists for other neurogenetic conditions, there are no standardized guidelines on genetic counseling and testing for individuals with unexplained ataxia. We conducted a comprehensive literature review on genetic counseling and testing in ataxia, identifying 7362 articles. After removing 2971 duplicates, 4391 articles were screened by two authors using the Evaluation of Genomic Applications in Practice and Prevention (EGAPP) framework. In areas lacking clear published evidence, we convened a multidisciplinary expert panel with clinical and genetic expertise in ataxia. Following conflict resolution and additional filtering, 68 articles were included in our guidance development. Based on this evidence and expert consensus, we developed 20 recommendations addressing indications for genetic testing in hereditary ataxia, components of pre- and post-test counseling, testing options, insurance considerations, interpretation of test results, and appropriate referral to genetic counseling services. Major themes include the importance of formal genetic counseling and suggesting whole genome sequencing as first-line testing, with an emphasis on detecting repeat expansions. These evidence-based, consensus-driven recommendations aim to support clinicians in evaluating patients with unexplained ataxia in order to provide timely evaluation and care, both for patients and their at-risk relatives.","Srinivasan, Sharan R; Mook, Amy D; Rochman, Michelle; Chen, Jin Yun Helen; Mu, Weiyi; Wilmot, George R; Rosenthal, Liana S; Uhlmann, Wendy R","Department of Neurology, Johns Hopkins University, Baltimore, Maryland, USA.; Division of Genetic Medicine, Department of Internal Medicine, University of Michigan, Ann Arbor, Michigan, USA.; Department of Neurology, University of Michigan, Ann Arbor, Michigan, USA.; Department of Human Genetics, University of Michigan, Ann Arbor, Michigan, USA.; Department of Neurology, Emory University, Atlanta, Georgia, USA.; Department of Neurology, Mass General Hospital, Boston, Massachusetts, USA.; Department of Neurology, Thomas Jefferson University, Philadelphia, Pennsylvania, USA.",Annals of clinical and translational neurology,Ann Clin Transl Neurol,,2025,08,29,2025,08,30,NONE_NONE_University of Michigan_,https://www.ncbi.nlm.nih.gov/pubmed/40883955,10.1002/acn3.70171,,,,
